FechaCierre,Descripcion,Estado,Comprador.NombreOrganismo,Comprador.NombreUnidad,Comprador.ComunaUnidad,Comprador.RegionUnidad,Comprador.NombreUsuario,Comprador.CargoUsuario,CodigoTipo,TipoConvocatoria,MontoEstimado,Modalidad,EmailResponsablePago
2025-11-03T16:00:00,Soporte permanente DBA - Plataforma Oracle,Activa,Servicio Nacional de Salud,Unidad de Compras,Concepción,Región de Los Lagos,Mónica Herrera,Coordinador de Adquisiciones,1,Público,31867.0,Licitación Privada,mónica.herrera@gobierno.cl
2025-10-06T15:00:00,ADQUISICIÓN DE POSTES COLAPSABLES Y SEÑALES PREFORMADAS PARA TRABAJOS DE CONSERVACIÓN EN LA RED VIAL ,Activa,Fiscalía Nacional,Área de Contrataciones,La Serena,Región de Valparaíso,Carlos Silva,Encargado de Licitaciones,1,Público,97445.0,Subasta Inversa,carlos.silva@gob.cl
2025-10-07T15:01:00,SERVICIO DE REPARACION Y MANTENIMIENTO DE PINTURA,Activa,Instituto de Previsión Social,Área de Contrataciones,Providencia,Región del Maule,Isabel Sánchez,Analista de Compras,2,Privado,281455.0,Subasta Inversa,isabel.sánchez@gob.cl
2025-10-07T15:30:00,Bases Servicio Acceso Perimetral 2025,Activa,Gobierno Regional de Valparaíso,Departamento de Adquisiciones,Temuco,Región de Los Lagos,Carmen Díaz,Administrador de Contratos,1,Público,31296.0,Compra Agilizada,carmen.díaz@municipalidad.cl
2025-10-09T15:30:00,ANÁLISIS DE LA CUENCA BIOBÍO PARA LA FORMULACIÓN ,Activa,Municipalidad de Concepción,División de Compras,Punta Arenas,Región de La Araucanía,Roberto Martínez,Encargado de Licitaciones,3,Mixto,155613.0,Subasta Inversa,roberto.martínez@municipalidad.cl
2025-10-07T16:00:00,DELIMITACION DE SECTORES ACUIFEROS QUE ALIMENTAN ESPECIES VEGETACIONALES DE VEGAS BOFEDALES Y PAJONALES EN LOS SALARES DEL ALTIPLANO Y EN LAS CABECERAS DE LAS CUENCAS DE LOS RIOS ELQUI Y CHOAPA EN LAS REGIONES DE ATACAMA Y COQUIMBO,Activa,Instituto de Previsión Social,Departamento de Adquisiciones,La Serena,Región Aysén del General Carlos Ibáñez del Campo,María González,Administrador de Contratos,1,Público,40811.0,Licitación Privada,maría.gonzález@gobierno.cl
2025-10-14T17:42:00,LISTADO DE DERECHOS DE APROVECHAMIENTO DE AGUAS,Activa,Superintendencia de Educación,División de Compras,Talca,Región de Magallanes y de la Antártica Chilena,Carlos Silva,Administrador de Contratos,1,Público,96781.0,Subasta Inversa,carlos.silva@municipalidad.cl
2025-10-06T16:00:00,ADQ E INSTALACION DE UN CONTENEDOR DE 40 PIES,Activa,Servicio Nacional del Consumidor,Sección de Licitaciones,Chillán,Región del Biobío,Carmen Díaz,Supervisor de Contratos,2,Privado,19411.0,Licitación Privada,carmen.díaz@gobierno.cl
2025-10-16T14:26:00,ADQUISICIÓN DE UN STORAGE BACKUP,Activa,Fiscalía Nacional,Departamento de Adquisiciones,Rancagua,Región del Libertador General Bernardo O'Higgins,Juan Pérez,Analista de Compras,3,Mixto,8411.0,Licitación Privada,juan.pérez@gob.cl
2025-10-10T15:29:00,MANTENCIÓN CORRECTIVA EQUIPO OSMOSIS INVERSA ALPHA I MARCA AMERICAN ENGINEERING SERVICES INC,Activa,Gobierno Regional de Valparaíso,División de Compras,Punta Arenas,Región del Biobío,Carlos Silva,Especialista en Compras,2,Privado,196906.0,Licitación Privada,carlos.silva@gobierno.cl
2025-10-15T15:00:00,Upgrade GIS ESRI para el MOP,Activa,Ministerio de Educación,División de Compras,Punta Arenas,Región del Biobío,Carlos Silva,Jefe de Compras,2,Privado,102967.0,Trato Directo,carlos.silva@municipalidad.cl
2025-11-04T15:00:00,Serv Ingeniería y Licencias Renovación Máximo MOP,Activa,Dirección del Trabajo,División de Compras,Antofagasta,Región Aysén del General Carlos Ibáñez del Campo,Carmen Díaz,Jefe de Compras,1,Público,13305.0,Trato Directo,carmen.díaz@gob.cl
2025-10-13T15:01:00,SUMINISTRO-INSTALACIÓN BOYAS AMARRE ISLA DE PASCUA,Activa,Instituto de Previsión Social,Departamento de Adquisiciones,Santiago,Región de Magallanes y de la Antártica Chilena,Diego Morales,Jefe de Compras,1,Público,161172.0,Licitación Pública,diego.morales@municipalidad.cl
2025-11-28T15:00:00,Diseño y Construcción Nave Lago Ranco,Activa,Superintendencia de Educación,Unidad de Compras,Santiago,Región de La Araucanía,Luis Fernández,Analista de Compras,3,Mixto,1406552.0,Convenio Marco,luis.fernández@municipalidad.cl
2025-10-07T18:00:00,CONVENIO DE SUMINISTRO DE BRAZALETES ADULTOS Y PEDIATRICOS CON EQUIPO EN COMODATO PARA EL HOSPITAL DE RENGO,Activa,Dirección del Trabajo,Departamento de Adquisiciones,Maipú,Región del Biobío,Patricia López,Encargado de Licitaciones,1,Público,710501.0,Licitación Pública,patricia.lópez@municipalidad.cl
2025-10-09T18:00:00,CONVENIO DE SUMINISTRO DE MEDICAMENTOS PSICOTROPICOS Y ESTUPEFACIENTES PARA EL HOSPITAL DE RENGO,Activa,Servicio de Impuestos Internos,Sección de Licitaciones,Maipú,Región Aysén del General Carlos Ibáñez del Campo,Carmen Díaz,Jefe de Compras,3,Mixto,531487.0,Convenio Marco,carmen.díaz@municipalidad.cl
2025-10-06T19:54:00,SUMINISTRO MATERIAL GRANULAR RUTA A- 456. DRV - TA,Activa,Ministerio de Educación,División de Compras,Santiago,Región Metropolitana,María González,Coordinador de Adquisiciones,2,Privado,716674.0,Licitación Pública,maría.gonzález@municipalidad.cl
2025-10-10T17:00:00,Adquisicion de 3 Bancos de entrenamiento TNS EEi,Activa,Municipalidad de Santiago,Departamento de Adquisiciones,Valparaíso,Región del Biobío,Ana Rodríguez,Supervisor de Contratos,3,Mixto,478945.0,Trato Directo,ana.rodríguez@gobierno.cl
2025-10-06T17:00:00,Extension de colector alcantarillado CFT,Activa,Municipalidad de Concepción,División de Compras,Ñuñoa,Región de Valparaíso,Luis Fernández,Encargado de Licitaciones,3,Mixto,886494.0,Licitación Privada,luis.fernández@gobierno.cl
2025-10-13T17:00:00,Adquisición de pantallas Interactivas para el CFT,Activa,Servicio de Impuestos Internos,Sección de Licitaciones,La Serena,Región de La Araucanía,Carmen Díaz,Especialista en Compras,3,Mixto,31387.0,Licitación Pública,carmen.díaz@gobierno.cl
2025-10-06T15:01:00,COMPRA EQUIPAMIENTO TP LICEO MARTIN KLEINKNECHT,Activa,Municipalidad de Valparaíso,Área de Contrataciones,Las Condes,Región Metropolitana,Patricia López,Supervisor de Contratos,1,Público,502753.0,Licitación Pública,patricia.lópez@gob.cl
2025-10-17T15:01:00,CONSERVACIÓN ESCUELA PÚBLICA ARENAS BLANCAS,Activa,Servicio Nacional del Consumidor,Unidad de Compras,Las Condes,Región del Libertador General Bernardo O'Higgins,María González,Coordinador de Adquisiciones,1,Público,3125626.0,Trato Directo,maría.gonzález@gob.cl
2025-10-10T15:01:00,Compra Equipamiento TP Liceo Claudio Arrau León,Activa,Fiscalía Nacional,Unidad de Compras,Rancagua,Región de Valparaíso,Ana Rodríguez,Especialista en Compras,2,Privado,155653.0,Trato Directo,ana.rodríguez@municipalidad.cl
2025-10-10T15:01:00,COMPRA EQUIPAMIENTO TP LICEO LUIS GONZALEZ VASQUEZ,Activa,Servicio de Impuestos Internos,Unidad de Compras,La Serena,Región de Valparaíso,Isabel Sánchez,Jefe de Compras,2,Privado,97161.0,Convenio Marco,isabel.sánchez@municipalidad.cl
2025-10-13T15:01:00,COMPRA EQUIPAMIENTO LICEO TP HUALPIN,Activa,Superintendencia de Educación,División de Compras,Ñuñoa,Región del Biobío,Juan Pérez,Supervisor de Contratos,2,Privado,188982.0,Subasta Inversa,juan.pérez@municipalidad.cl
2025-10-13T15:01:00,COMPRA EQUIPAMIENTO TP LICEO REINO SUECIA DEL SLEP,Activa,Gobierno Regional de Valparaíso,Departamento de Adquisiciones,Valparaíso,Región de Tarapacá,Mónica Herrera,Encargado de Licitaciones,3,Mixto,108570.0,Convenio Marco,mónica.herrera@gob.cl
2025-10-13T15:27:00,ADQUISICIÓN DE EMULSION ASFALTICA PARA DRV MAULE,Activa,Ministerio de Salud,Sección de Licitaciones,Chillán,Región Metropolitana,Diego Morales,Encargado de Licitaciones,1,Público,263301.0,Compra Agilizada,diego.morales@gobierno.cl
2025-10-13T15:30:00,Material Granular con derecho a cantera,Activa,Ministerio de Obras Públicas,Departamento de Adquisiciones,Antofagasta,Región Aysén del General Carlos Ibáñez del Campo,Roberto Martínez,Analista de Compras,1,Público,37311.0,Trato Directo,roberto.martínez@gob.cl
2025-10-13T16:00:00,Servicios de Traslado de Pacientes Ambulancias,Activa,Instituto de Previsión Social,Departamento de Adquisiciones,Temuco,Región Metropolitana,Carlos Silva,Especialista en Compras,3,Mixto,255915.0,Licitación Privada,carlos.silva@gob.cl
2025-10-10T15:00:00,Servicio de Emisión de Licencias Medicas Electrónicas,Activa,Servicio Nacional de Salud,División de Compras,Santiago,Región de Atacama,Carlos Silva,Coordinador de Adquisiciones,2,Privado,845534.0,Compra Agilizada,carlos.silva@gobierno.cl
2025-10-24T12:00:00,TARJETAS DE REGALO BONO DE NAVIDAD 2025 PARA LOS AFILIADOS AL SERVICIO DE BIENESTAR DE PROVIDENCIA.,Activa,Ministerio de Salud,Unidad de Compras,Temuco,Región de Los Lagos,Carlos Silva,Supervisor de Contratos,1,Público,1051564.0,Licitación Pública,carlos.silva@gob.cl
2025-10-30T12:00:00,Adquisición de juguetes de navidad 2025 para hijos de funcionarios afiliados al Servicio de Bienestar.,Activa,Superintendencia de Educación,Área de Contrataciones,Concepción,Región de Atacama,Isabel Sánchez,Coordinador de Adquisiciones,3,Mixto,453528.0,Subasta Inversa,isabel.sánchez@gob.cl
2025-10-13T15:05:00,Servicio Abogado apoyo Conaf VI Region,Activa,Gobierno Regional del Biobío,Sección de Licitaciones,La Serena,Región del Libertador General Bernardo O'Higgins,Mónica Herrera,Encargado de Licitaciones,1,Público,315679.0,Convenio Marco,mónica.herrera@municipalidad.cl
2025-10-06T15:00:00,Serv. Mantención y/o construcción mecanizada de cortafuego en la Prov. C.Caro,Activa,Ministerio de Obras Públicas,División de Compras,La Serena,Región de Coquimbo,Fernando Ramírez,Administrador de Contratos,2,Privado,86351.0,Licitación Pública,fernando.ramírez@municipalidad.cl
2025-10-21T17:00:00,SERVICIOS DE ASEO CFT DE LOS RIOS,Activa,Instituto de Previsión Social,Sección de Licitaciones,Punta Arenas,Región de La Araucanía,Diego Morales,Analista de Compras,2,Privado,99057.0,Convenio Marco,diego.morales@municipalidad.cl
2025-10-10T17:00:00,EQUIPAMIENTO CARRERAS ESCUELA DE SALUD,Activa,Superintendencia de Educación,Departamento de Adquisiciones,Punta Arenas,Región de Coquimbo,Carlos Silva,Analista de Compras,2,Privado,841196.0,Subasta Inversa,carlos.silva@gob.cl
2025-10-13T17:00:00,EQUIPAMIENTO CARRERA DE ELECTRICIDAD,Activa,Ministerio de Educación,Departamento de Adquisiciones,Chillán,Región de La Araucanía,Juan Pérez,Analista de Compras,3,Mixto,5250.0,Licitación Pública,juan.pérez@municipalidad.cl
2025-10-17T17:01:00,SERVICIO DE ARRIENDO DE MÓVILES PARA TRANSPORTE DE AGUA Y PERSONAL DE BRIGADAS DEL DEPARTAMENTO DE PROTECCIÓN CONTRA INCENDIOS FORESTALES PARA LOS PERIODOS 2025-2026 2026-2027,Activa,Fiscalía Nacional,Unidad de Compras,Valparaíso,Región de Los Ríos,Roberto Martínez,Analista de Compras,2,Privado,453550.0,Trato Directo,roberto.martínez@gobierno.cl
2025-10-22T15:00:00,Adquisición de Plantas 2025,Activa,Municipalidad de Concepción,Unidad de Compras,La Serena,Región del Libertador General Bernardo O'Higgins,Luis Fernández,Especialista en Compras,3,Mixto,291031.0,Compra Agilizada,luis.fernández@gob.cl
2025-10-13T15:10:00,SERVICIO ARRIENDO BUS TRANSPORTEPERSONAL BRIGADAS,Activa,Dirección del Trabajo,División de Compras,Punta Arenas,Región del Libertador General Bernardo O'Higgins,Mónica Herrera,Especialista en Compras,3,Mixto,47835.0,Trato Directo,mónica.herrera@gob.cl
2025-10-08T17:01:00,CONVENIO DE SUMINSITRO ADQUISICIÓN DE ELEMENTOS DE PROTECCIÓN PERSONAL EPP PARA USO LABORAL,Activa,Servicio de Impuestos Internos,Departamento de Adquisiciones,Ñuñoa,Región del Libertador General Bernardo O'Higgins,Juan Pérez,Encargado de Licitaciones,2,Privado,600148.0,Trato Directo,juan.pérez@gobierno.cl
2025-10-13T17:34:00,CONEXIÓN ACCESO UNIVERSAL: PASILLO-ASCENSOR,Activa,Municipalidad de Santiago,Área de Contrataciones,La Serena,Región de Tarapacá,Ana Rodríguez,Encargado de Licitaciones,2,Privado,1605124.0,Licitación Pública,ana.rodríguez@municipalidad.cl
2025-10-07T10:00:00,ARRDO. 15 CAMIONETAS 4x4 DC DEPRIF REG. LOS LAGOS,Activa,Ministerio de Obras Públicas,Área de Contrataciones,Antofagasta,Región del Maule,María González,Coordinador de Adquisiciones,1,Público,175196.0,Compra Agilizada,maría.gonzález@gob.cl
2025-10-23T10:00:00,ARRIENDO DE 6 CAMIONES CARROZADOS PARA BRIGADAS,Activa,Servicio Nacional de Salud,Área de Contrataciones,Concepción,Región de Los Ríos,Roberto Martínez,Encargado de Licitaciones,2,Privado,17482.0,Licitación Privada,roberto.martínez@municipalidad.cl
2025-10-13T15:15:00,MATERIALES PARA DIVERSAS FAENAS FORESTALES,Activa,Municipalidad de Valparaíso,División de Compras,Rancagua,Región de Valparaíso,Carlos Silva,Jefe de Compras,3,Mixto,161987.0,Trato Directo,carlos.silva@gobierno.cl
2025-10-08T18:00:00,E1O2RT9 PRODUCCION DIA DE LA MUJER RURAL,Activa,Ministerio de Educación,Área de Contrataciones,Viña del Mar,Región de La Araucanía,María González,Encargado de Licitaciones,3,Mixto,11821.0,Trato Directo,maría.gonzález@municipalidad.cl
2025-10-15T17:44:00,Servicio de Transporte de Agua en Camión Aljibe,Activa,Municipalidad de Valparaíso,Departamento de Adquisiciones,Las Condes,Región del Libertador General Bernardo O'Higgins,Diego Morales,Administrador de Contratos,1,Público,413454.0,Convenio Marco,diego.morales@gobierno.cl
2025-10-14T15:00:00,Arriendo Camión Pluma Carga y Estanque 2.000 Lts.,Activa,Gobierno Regional de Valparaíso,Departamento de Adquisiciones,La Serena,Región de Tarapacá,Roberto Martínez,Administrador de Contratos,2,Privado,264338.0,Compra Agilizada,roberto.martínez@municipalidad.cl
2025-10-08T16:00:00,Adquisición de Container de Almacenamiento CAD DAP,Activa,Municipalidad de Santiago,Sección de Licitaciones,Chillán,Región del Maule,Fernando Ramírez,Coordinador de Adquisiciones,2,Privado,87762.0,Licitación Privada,fernando.ramírez@municipalidad.cl
2025-10-09T16:00:00,Servicio de suministro de supresor de polvo CAD,Activa,Dirección del Trabajo,División de Compras,Rancagua,Región del Biobío,María González,Especialista en Compras,2,Privado,42984.0,Subasta Inversa,maría.gonzález@gobierno.cl
2025-10-08T16:31:00,LOGÍSTICA Y PRODUCCIÓN DE CONVERSATORIO DE ASTRO POESÍA EN EL AÑO DE GABRIELA MISTRAL 2025 Y SERVICIO DE TRASLADO Y TRANSPORTE DE DELEGACIÓN DE CAMPEONES REGIONALES DE CUECA ESCOLAR REGIÓN DE ÑUBLE 2025 A MUESTRA NACIONAL DE CUECA ESCOLAR MAULE 2025,Activa,Instituto de Previsión Social,Sección de Licitaciones,Las Condes,Región del Libertador General Bernardo O'Higgins,Ana Rodríguez,Coordinador de Adquisiciones,2,Privado,289290.0,Subasta Inversa,ana.rodríguez@gob.cl
2025-10-27T15:00:00,SERVICIOS DE ENTREGA DE AGUA POTABLE DIGUILLIN,Activa,Instituto de Previsión Social,Sección de Licitaciones,Punta Arenas,Región de Tarapacá,Ana Rodríguez,Supervisor de Contratos,3,Mixto,471747.0,Subasta Inversa,ana.rodríguez@municipalidad.cl
2025-10-24T10:00:00,"CONSERV.RUT.  AEROD. LAG.  SAN RAFAEL, REG. AYSEN",Activa,Instituto de Previsión Social,Unidad de Compras,Talca,Región de Tarapacá,Luis Fernández,Administrador de Contratos,3,Mixto,99519.0,Licitación Pública,luis.fernández@municipalidad.cl
2025-10-06T17:32:00,AIF Ampliación Red Piezométrica Atacama,Activa,Gobierno Regional del Biobío,División de Compras,Temuco,Región Aysén del General Carlos Ibáñez del Campo,Diego Morales,Analista de Compras,2,Privado,1022002.0,Licitación Pública,diego.morales@municipalidad.cl
2025-10-06T16:03:00,AIF RESTITUCIÓN EF RÍO COPIAPÓ EN PASTILLO,Activa,Municipalidad de Concepción,Sección de Licitaciones,Viña del Mar,Región de Los Ríos,María González,Administrador de Contratos,3,Mixto,58119.0,Trato Directo,maría.gonzález@gob.cl
2025-10-16T15:00:00,CONEXION AGUA POTAB. VILLA EL CONQUISTADOR COELEMU,Activa,Municipalidad de Valparaíso,Sección de Licitaciones,Las Condes,Región del Libertador General Bernardo O'Higgins,Isabel Sánchez,Jefe de Compras,1,Público,40319.0,Subasta Inversa,isabel.sánchez@municipalidad.cl
2025-10-22T15:00:00,CONSTR. MULTICANCHA Y CIERRE ESC. QUILLAYCILLO,Activa,Ministerio de Educación,División de Compras,Providencia,Región Aysén del General Carlos Ibáñez del Campo,Patricia López,Especialista en Compras,3,Mixto,305799.0,Compra Agilizada,patricia.lópez@gobierno.cl
2025-11-03T15:01:00,CONST. INFRAESTRUCTURA CANCHA EL TRIANGULO LIC PRIVADA,Activa,Servicio de Impuestos Internos,Área de Contrataciones,La Serena,Región Metropolitana,Fernando Ramírez,Encargado de Licitaciones,2,Privado,180719.0,Trato Directo,fernando.ramírez@gob.cl
2025-10-06T15:30:00,SERVICIO DE ARRIENDO DE EMBARCACIÓN PARA EL ESTUDIO SESGO DE ORILLA EN LA EVALUACIÓN HIDROACÚSTICA DE LOS STOCKS DE ANCHOVETA Y SARDINA COMÚN EN LA REGIÓN DE LA ARAUCANÍA Y LA REGIÓN DE LOS RÍOS AÑO 2026.,Activa,Servicio Nacional del Consumidor,Departamento de Adquisiciones,Concepción,Región de Antofagasta,Isabel Sánchez,Coordinador de Adquisiciones,1,Público,107961.0,Licitación Privada,isabel.sánchez@municipalidad.cl
2025-10-06T15:30:00,SERVICIO DE ARRIENDO DE EMBARCACIÓN PARA EL ESTUDIO SESGO DE ORILLA EN LA EVALUACIÓN HIDROACÚSTICA DE LOS STOCKS DE ANCHOVETA Y SARDINA COMÚN EN LA REGIÓN DEL ÑUBLE Y LA REGIÓN DEL BIOBIO AÑO 2026.,Activa,Municipalidad de Santiago,División de Compras,Santiago,Región Aysén del General Carlos Ibáñez del Campo,Carmen Díaz,Coordinador de Adquisiciones,1,Público,882288.0,Convenio Marco,carmen.díaz@gobierno.cl
2025-10-06T15:30:00,ADQUISICIÓN DE BOYA OCEANOGRÁFICA COSTERA,Activa,Municipalidad de Concepción,Sección de Licitaciones,Talca,Región de Tarapacá,Ana Rodríguez,Administrador de Contratos,2,Privado,150243.0,Licitación Pública,ana.rodríguez@gobierno.cl
2025-10-06T15:30:00,ADQUISICIÓN DE 02 ESTACIONES METEOROLÓGICAS PARA EL INSTITUTO DE FOMENTO PESQUERO.,Activa,Ministerio de Obras Públicas,Sección de Licitaciones,Antofagasta,Región del Libertador General Bernardo O'Higgins,Patricia López,Coordinador de Adquisiciones,2,Privado,71586.0,Licitación Privada,patricia.lópez@municipalidad.cl
2025-10-14T15:31:00,ADQUISICION DE DOS SERVIDORES DE ALTO RENDIMIENTO  PARA SEDE PUTEMUN DEL INSTITUTO DE FOMENTO  PESQUERO,Activa,Dirección del Trabajo,Área de Contrataciones,Punta Arenas,Región Metropolitana,Roberto Martínez,Supervisor de Contratos,3,Mixto,16142.0,Subasta Inversa,roberto.martínez@gobierno.cl
2025-10-13T15:01:00,FIESTA PATRIMONIAL DEL ROSARIO NINHUE,Activa,Gobierno Regional del Biobío,División de Compras,Temuco,Región de Atacama,Juan Pérez,Administrador de Contratos,2,Privado,767957.0,Trato Directo,juan.pérez@municipalidad.cl
2025-10-13T15:01:00,SERVICIO PARA ENCUENTRO REGIONAL PUNTOS CULTURA SAN FABIAN DE ALICO,Activa,Instituto de Previsión Social,Departamento de Adquisiciones,Talca,Región de Atacama,Fernando Ramírez,Jefe de Compras,2,Privado,6974.0,Compra Agilizada,fernando.ramírez@gob.cl
