CodigoExterno,Nombre,CodigoEstado,FechaCierre,Estado,Descripcion,CodigoTipo,TipoConvocatoria,MontoEstimado,Modalidad,Comprador.NombreOrganismo,Comprador.NombreUnidad,Comprador.ComunaUnidad,Comprador.RegionUnidad,Comprador.NombreUsuario,Comprador.CargoUsuario,EmailResponsablePago
1002588-97-LE25,Producción salidas pedagógicas Col. Nuestra Sra.,5,2025-10-06T15:00:00,Activa,Producción salidas pedagógicas Col. Nuestra Sra.,1,Público,66006.0,Licitación Pública,Servicio Nacional del Consumidor,División de Compras,Temuco,Región Aysén del General Carlos Ibáñez del Campo,Isabel Sánchez,Encargado de Licitaciones,isabel.sánchez@gobierno.cl
1002588-98-LE25,Servicio De Producción Liceo Industrial José Tomás,5,2025-10-06T15:00:00,Activa,Servicio De Producción Liceo Industrial José Tomás,2,Privado,53272.0,Subasta Inversa,Servicio Nacional del Consumidor,Unidad de Compras,Las Condes,Región de Los Lagos,Juan Pérez,Coordinador de Adquisiciones,juan.pérez@municipalidad.cl
1002588-99-LE25,Servicios De Capacitación Para Docentes,5,2025-10-06T15:00:00,Activa,Servicios De Capacitación Para Docentes,1,Público,2695304.0,Compra Agilizada,Fiscalía Nacional,División de Compras,La Serena,Región de Antofagasta,Carlos Silva,Encargado de Licitaciones,carlos.silva@municipalidad.cl
1002772-115-LR25,INSUMOS PARA TRATAMIENTO DE HERIDAS COMPLEJAS,5,2025-10-10T16:00:00,Activa,INSUMOS PARA TRATAMIENTO DE HERIDAS COMPLEJAS,3,Mixto,1285018.0,Trato Directo,Municipalidad de Valparaíso,Departamento de Adquisiciones,Rancagua,Región de La Araucanía,Fernando Ramírez,Jefe de Compras,fernando.ramírez@municipalidad.cl
1002772-119-LQ25,CATÉTERES USO PEDIÁTRICO CON ECÓGRAFOS EN COMODATO,5,2025-10-06T16:00:00,Activa,CATÉTERES USO PEDIÁTRICO CON ECÓGRAFOS EN COMODATO,2,Privado,446553.0,Subasta Inversa,Dirección del Trabajo,Sección de Licitaciones,Antofagasta,Región del Maule,Luis Fernández,Supervisor de Contratos,luis.fernández@municipalidad.cl
1002772-120-LQ25,SUMINISTRO DE INSUMOS PARA CIRUGÍA DE TÓRAX,5,2025-10-06T17:00:00,Activa,SUMINISTRO DE INSUMOS PARA CIRUGÍA DE TÓRAX,2,Privado,623776.0,Subasta Inversa,Ministerio de Salud,Departamento de Adquisiciones,Temuco,Región de Valparaíso,Carmen Díaz,Coordinador de Adquisiciones,carmen.díaz@gobierno.cl
1002772-122-LE25,SUMINISTRO DE CINTILLO DE MONITOREO ANESTESICO,5,2025-10-06T16:00:00,Activa,SUMINISTRO DE CINTILLO DE MONITOREO ANESTESICO,1,Público,69655.0,Licitación Privada,Municipalidad de Santiago,Área de Contrataciones,La Serena,Región de Atacama,Carlos Silva,Administrador de Contratos,carlos.silva@gobierno.cl
1002772-123-LR25,SUMINISTRO DE INSUMOS TRANSVERSALES,5,2025-11-03T16:00:00,Activa,SUMINISTRO DE INSUMOS TRANSVERSALES,1,Público,62031.0,Trato Directo,Instituto de Previsión Social,Unidad de Compras,Temuco,Región de Valparaíso,Luis Fernández,Coordinador de Adquisiciones,luis.fernández@municipalidad.cl
1004-42-LP25,SERVICIO DE ARRIENDO CAMION TOLVA,5,2025-10-13T16:05:00,Activa,SERVICIO DE ARRIENDO CAMION TOLVA,2,Privado,744718.0,Licitación Privada,Servicio Nacional del Consumidor,División de Compras,Providencia,Región de Coquimbo,Isabel Sánchez,Supervisor de Contratos,isabel.sánchez@municipalidad.cl
1004-43-LP25,ARRIENDO RODILLO COMPACTADOR.,5,2025-10-13T16:05:00,Activa,ARRIENDO RODILLO COMPACTADOR.,3,Mixto,63911.0,Licitación Pública,Instituto de Previsión Social,División de Compras,La Serena,Región del Libertador General Bernardo O'Higgins,Mónica Herrera,Coordinador de Adquisiciones,mónica.herrera@gob.cl
1004823-24-LE25,SERVICIO DE HABILITACIÓN E IMPLEMENTACIÓN PARA LAS OFICINAS DE LAS UNIDADES DE ADMISIÓN Y GÉNERO PROYECTO CRC23101,5,2025-10-10T18:39:00,Activa,SERVICIO DE HABILITACIÓN E IMPLEMENTACIÓN PARA LAS OFICINAS DE LAS UNIDADES DE ADMISIÓN Y GÉNERO PROYECTO CRC23101,2,Privado,46758.0,Convenio Marco,Servicio de Impuestos Internos,División de Compras,Santiago,Región del Maule,Isabel Sánchez,Coordinador de Adquisiciones,isabel.sánchez@gobierno.cl
1004823-25-LE25,Renovación de licencias educativas suite de trabajo Office 365 para el Centro de Formación Técnica de la Región de Coquimbo,5,2025-10-10T19:55:00,Activa,Renovación de licencias educativas suite de trabajo Office 365 para el Centro de Formación Técnica de la Región de Coquimbo,2,Privado,1620587.0,Compra Agilizada,Gobierno Regional de Valparaíso,Unidad de Compras,Maipú,Región Aysén del General Carlos Ibáñez del Campo,Luis Fernández,Supervisor de Contratos,luis.fernández@gobierno.cl
1004823-26-LE25,SERVICIOS DE DIFUSIÓN RADIAL Y DIGITAL CAMPAÑA DE ADMISIÓN 2026,5,2025-10-10T18:01:00,Activa,SERVICIOS DE DIFUSIÓN RADIAL Y DIGITAL CAMPAÑA DE ADMISIÓN 2026,2,Privado,7625004.0,Trato Directo,Municipalidad de Valparaíso,Departamento de Adquisiciones,Maipú,Región de Los Lagos,Roberto Martínez,Analista de Compras,roberto.martínez@gobierno.cl
1004823-27-LE25,Adquisición e Instalación Pantalla LED,5,2025-10-10T19:48:00,Activa,Adquisición e Instalación Pantalla LED,2,Privado,11743.0,Compra Agilizada,Instituto de Previsión Social,División de Compras,Las Condes,Región de Coquimbo,Roberto Martínez,Especialista en Compras,roberto.martínez@gobierno.cl
1005498-32-LQ25,Soporte M365 y consultoría consolidación AD,5,2025-10-21T16:00:00,Activa,Soporte M365 y consultoría consolidación AD,1,Público,217571.0,Convenio Marco,Ministerio de Salud,Unidad de Compras,Ñuñoa,Región Metropolitana,Roberto Martínez,Coordinador de Adquisiciones,roberto.martínez@municipalidad.cl
1005498-33-LR25,Soporte permanente DBA - Plataforma Oracle,5,2025-11-03T16:00:00,Activa,Soporte permanente DBA - Plataforma Oracle,1,Público,31867.0,Licitación Privada,Servicio Nacional de Salud,Unidad de Compras,Concepción,Región de Los Lagos,Mónica Herrera,Coordinador de Adquisiciones,mónica.herrera@gobierno.cl
1006-22-LE25,ADQUISICIÓN DE POSTES COLAPSABLES Y SEÑALES PREFORMADAS PARA TRABAJOS DE CONSERVACIÓN EN LA RED VIAL ,5,2025-10-06T15:00:00,Activa,ADQUISICIÓN DE POSTES COLAPSABLES Y SEÑALES PREFORMADAS PARA TRABAJOS DE CONSERVACIÓN EN LA RED VIAL ,1,Público,97445.0,Subasta Inversa,Fiscalía Nacional,Área de Contrataciones,La Serena,Región de Valparaíso,Carlos Silva,Encargado de Licitaciones,carlos.silva@gob.cl
1013609-11-LE25,SERVICIO DE REPARACION Y MANTENIMIENTO DE PINTURA,5,2025-10-07T15:01:00,Activa,SERVICIO DE REPARACION Y MANTENIMIENTO DE PINTURA,2,Privado,281455.0,Subasta Inversa,Instituto de Previsión Social,Área de Contrataciones,Providencia,Región del Maule,Isabel Sánchez,Analista de Compras,isabel.sánchez@gob.cl
1016414-26-LE25,Bases Servicio Acceso Perimetral 2025,5,2025-10-07T15:30:00,Activa,Bases Servicio Acceso Perimetral 2025,1,Público,31296.0,Compra Agilizada,Gobierno Regional de Valparaíso,Departamento de Adquisiciones,Temuco,Región de Los Lagos,Carmen Díaz,Administrador de Contratos,carmen.díaz@municipalidad.cl
1019-115-LR25,ANÁLISIS DE LA CUENCA BIOBÍO PARA LA FORMULACIÓN ,5,2025-10-09T15:30:00,Activa,ANÁLISIS DE LA CUENCA BIOBÍO PARA LA FORMULACIÓN ,3,Mixto,155613.0,Subasta Inversa,Municipalidad de Concepción,División de Compras,Punta Arenas,Región de La Araucanía,Roberto Martínez,Encargado de Licitaciones,roberto.martínez@municipalidad.cl
1019-124-LE25,DELIMITACION DE SECTORES ACUIFEROS QUE ALIMENTAN ESPECIES VEGETACIONALES DE VEGAS BOFEDALES Y PAJONALES EN LOS SALARES DEL ALTIPLANO Y EN LAS CABECERAS DE LAS CUENCAS DE LOS RIOS ELQUI Y CHOAPA EN LAS REGIONES DE ATACAMA Y COQUIMBO,5,2025-10-07T16:00:00,Activa,DELIMITACION DE SECTORES ACUIFEROS QUE ALIMENTAN ESPECIES VEGETACIONALES DE VEGAS BOFEDALES Y PAJONALES EN LOS SALARES DEL ALTIPLANO Y EN LAS CABECERAS DE LAS CUENCAS DE LOS RIOS ELQUI Y CHOAPA EN LAS REGIONES DE ATACAMA Y COQUIMBO,1,Público,40811.0,Licitación Privada,Instituto de Previsión Social,Departamento de Adquisiciones,La Serena,Región Aysén del General Carlos Ibáñez del Campo,María González,Administrador de Contratos,maría.gonzález@gobierno.cl
1019-125-LP25,LISTADO DE DERECHOS DE APROVECHAMIENTO DE AGUAS,5,2025-10-14T17:42:00,Activa,LISTADO DE DERECHOS DE APROVECHAMIENTO DE AGUAS,1,Público,96781.0,Subasta Inversa,Superintendencia de Educación,División de Compras,Talca,Región de Magallanes y de la Antártica Chilena,Carlos Silva,Administrador de Contratos,carlos.silva@municipalidad.cl
1019-126-LE25,ADQ E INSTALACION DE UN CONTENEDOR DE 40 PIES,5,2025-10-06T16:00:00,Activa,ADQ E INSTALACION DE UN CONTENEDOR DE 40 PIES,2,Privado,19411.0,Licitación Privada,Servicio Nacional del Consumidor,Sección de Licitaciones,Chillán,Región del Biobío,Carmen Díaz,Supervisor de Contratos,carmen.díaz@gobierno.cl
1019-127-LP25,ADQUISICIÓN DE UN STORAGE BACKUP,5,2025-10-16T14:26:00,Activa,ADQUISICIÓN DE UN STORAGE BACKUP,3,Mixto,8411.0,Licitación Privada,Fiscalía Nacional,Departamento de Adquisiciones,Rancagua,Región del Libertador General Bernardo O'Higgins,Juan Pérez,Analista de Compras,juan.pérez@gob.cl
1019-128-E225,MANTENCIÓN CORRECTIVA EQUIPO OSMOSIS INVERSA ALPHA I MARCA AMERICAN ENGINEERING SERVICES INC,5,2025-10-10T15:29:00,Activa,MANTENCIÓN CORRECTIVA EQUIPO OSMOSIS INVERSA ALPHA I MARCA AMERICAN ENGINEERING SERVICES INC,2,Privado,196906.0,Licitación Privada,Gobierno Regional de Valparaíso,División de Compras,Punta Arenas,Región del Biobío,Carlos Silva,Especialista en Compras,carlos.silva@gobierno.cl
1020-62-LR25,Upgrade GIS ESRI para el MOP,5,2025-10-15T15:00:00,Activa,Upgrade GIS ESRI para el MOP,2,Privado,102967.0,Trato Directo,Ministerio de Educación,División de Compras,Punta Arenas,Región del Biobío,Carlos Silva,Jefe de Compras,carlos.silva@municipalidad.cl
1020-63-LR25,Serv Ingeniería y Licencias Renovación Máximo MOP,5,2025-11-04T15:00:00,Activa,Serv Ingeniería y Licencias Renovación Máximo MOP,1,Público,13305.0,Trato Directo,Dirección del Trabajo,División de Compras,Antofagasta,Región Aysén del General Carlos Ibáñez del Campo,Carmen Díaz,Jefe de Compras,carmen.díaz@gob.cl
1020-65-LR25,SUMINISTRO-INSTALACIÓN BOYAS AMARRE ISLA DE PASCUA,5,2025-10-13T15:01:00,Activa,SUMINISTRO-INSTALACIÓN BOYAS AMARRE ISLA DE PASCUA,1,Público,161172.0,Licitación Pública,Instituto de Previsión Social,Departamento de Adquisiciones,Santiago,Región de Magallanes y de la Antártica Chilena,Diego Morales,Jefe de Compras,diego.morales@municipalidad.cl
1020-69-LR25,Diseño y Construcción Nave Lago Ranco,5,2025-11-28T15:00:00,Activa,Diseño y Construcción Nave Lago Ranco,3,Mixto,1406552.0,Convenio Marco,Superintendencia de Educación,Unidad de Compras,Santiago,Región de La Araucanía,Luis Fernández,Analista de Compras,luis.fernández@municipalidad.cl
1021609-16-LE25,CONVENIO DE SUMINISTRO DE BRAZALETES ADULTOS Y PEDIATRICOS CON EQUIPO EN COMODATO PARA EL HOSPITAL DE RENGO,5,2025-10-07T18:00:00,Activa,CONVENIO DE SUMINISTRO DE BRAZALETES ADULTOS Y PEDIATRICOS CON EQUIPO EN COMODATO PARA EL HOSPITAL DE RENGO,1,Público,710501.0,Licitación Pública,Dirección del Trabajo,Departamento de Adquisiciones,Maipú,Región del Biobío,Patricia López,Encargado de Licitaciones,patricia.lópez@municipalidad.cl
1021609-17-LP25,CONVENIO DE SUMINISTRO DE MEDICAMENTOS PSICOTROPICOS Y ESTUPEFACIENTES PARA EL HOSPITAL DE RENGO,5,2025-10-09T18:00:00,Activa,CONVENIO DE SUMINISTRO DE MEDICAMENTOS PSICOTROPICOS Y ESTUPEFACIENTES PARA EL HOSPITAL DE RENGO,3,Mixto,531487.0,Convenio Marco,Servicio de Impuestos Internos,Sección de Licitaciones,Maipú,Región Aysén del General Carlos Ibáñez del Campo,Carmen Díaz,Jefe de Compras,carmen.díaz@municipalidad.cl
1024-37-LP25,SUMINISTRO MATERIAL GRANULAR RUTA A- 456. DRV - TA,5,2025-10-06T19:54:00,Activa,SUMINISTRO MATERIAL GRANULAR RUTA A- 456. DRV - TA,2,Privado,716674.0,Licitación Pública,Ministerio de Educación,División de Compras,Santiago,Región Metropolitana,María González,Coordinador de Adquisiciones,maría.gonzález@municipalidad.cl
1026727-25-LE25,Adquisicion de 3 Bancos de entrenamiento TNS EEi,5,2025-10-10T17:00:00,Activa,Adquisicion de 3 Bancos de entrenamiento TNS EEi,3,Mixto,478945.0,Trato Directo,Municipalidad de Santiago,Departamento de Adquisiciones,Valparaíso,Región del Biobío,Ana Rodríguez,Supervisor de Contratos,ana.rodríguez@gobierno.cl
1026727-26-LE25,Extension de colector alcantarillado CFT,5,2025-10-06T17:00:00,Activa,Extension de colector alcantarillado CFT,3,Mixto,886494.0,Licitación Privada,Municipalidad de Concepción,División de Compras,Ñuñoa,Región de Valparaíso,Luis Fernández,Encargado de Licitaciones,luis.fernández@gobierno.cl
1026727-28-LE25,Adquisición de pantallas Interactivas para el CFT,5,2025-10-13T17:00:00,Activa,Adquisición de pantallas Interactivas para el CFT,3,Mixto,31387.0,Licitación Pública,Servicio de Impuestos Internos,Sección de Licitaciones,La Serena,Región de La Araucanía,Carmen Díaz,Especialista en Compras,carmen.díaz@gobierno.cl
1028897-35-LE25,COMPRA EQUIPAMIENTO TP LICEO MARTIN KLEINKNECHT,5,2025-10-06T15:01:00,Activa,COMPRA EQUIPAMIENTO TP LICEO MARTIN KLEINKNECHT,1,Público,502753.0,Licitación Pública,Municipalidad de Valparaíso,Área de Contrataciones,Las Condes,Región Metropolitana,Patricia López,Supervisor de Contratos,patricia.lópez@gob.cl
1028897-36-LR25,CONSERVACIÓN ESCUELA PÚBLICA ARENAS BLANCAS,5,2025-10-17T15:01:00,Activa,CONSERVACIÓN ESCUELA PÚBLICA ARENAS BLANCAS,1,Público,3125626.0,Trato Directo,Servicio Nacional del Consumidor,Unidad de Compras,Las Condes,Región del Libertador General Bernardo O'Higgins,María González,Coordinador de Adquisiciones,maría.gonzález@gob.cl
1028897-37-LE25,Compra Equipamiento TP Liceo Claudio Arrau León,5,2025-10-10T15:01:00,Activa,Compra Equipamiento TP Liceo Claudio Arrau León,2,Privado,155653.0,Trato Directo,Fiscalía Nacional,Unidad de Compras,Rancagua,Región de Valparaíso,Ana Rodríguez,Especialista en Compras,ana.rodríguez@municipalidad.cl
1028897-38-LE25,COMPRA EQUIPAMIENTO TP LICEO LUIS GONZALEZ VASQUEZ,5,2025-10-10T15:01:00,Activa,COMPRA EQUIPAMIENTO TP LICEO LUIS GONZALEZ VASQUEZ,2,Privado,97161.0,Convenio Marco,Servicio de Impuestos Internos,Unidad de Compras,La Serena,Región de Valparaíso,Isabel Sánchez,Jefe de Compras,isabel.sánchez@municipalidad.cl
1028897-39-LE25,COMPRA EQUIPAMIENTO LICEO TP HUALPIN,5,2025-10-13T15:01:00,Activa,COMPRA EQUIPAMIENTO LICEO TP HUALPIN,2,Privado,188982.0,Subasta Inversa,Superintendencia de Educación,División de Compras,Ñuñoa,Región del Biobío,Juan Pérez,Supervisor de Contratos,juan.pérez@municipalidad.cl
1028897-40-LE25,COMPRA EQUIPAMIENTO TP LICEO REINO SUECIA DEL SLEP,5,2025-10-13T15:01:00,Activa,COMPRA EQUIPAMIENTO TP LICEO REINO SUECIA DEL SLEP,3,Mixto,108570.0,Convenio Marco,Gobierno Regional de Valparaíso,Departamento de Adquisiciones,Valparaíso,Región de Tarapacá,Mónica Herrera,Encargado de Licitaciones,mónica.herrera@gob.cl
1029-30-LP25,ADQUISICIÓN DE EMULSION ASFALTICA PARA DRV MAULE,5,2025-10-13T15:27:00,Activa,ADQUISICIÓN DE EMULSION ASFALTICA PARA DRV MAULE,1,Público,263301.0,Compra Agilizada,Ministerio de Salud,Sección de Licitaciones,Chillán,Región Metropolitana,Diego Morales,Encargado de Licitaciones,diego.morales@gobierno.cl
1030-29-LE25,Material Granular con derecho a cantera,5,2025-10-13T15:30:00,Activa,Material Granular con derecho a cantera,1,Público,37311.0,Trato Directo,Ministerio de Obras Públicas,Departamento de Adquisiciones,Antofagasta,Región Aysén del General Carlos Ibáñez del Campo,Roberto Martínez,Analista de Compras,roberto.martínez@gob.cl
1031849-14-LE25,Servicios de Traslado de Pacientes Ambulancias,5,2025-10-13T16:00:00,Activa,Servicios de Traslado de Pacientes Ambulancias,3,Mixto,255915.0,Licitación Privada,Instituto de Previsión Social,Departamento de Adquisiciones,Temuco,Región Metropolitana,Carlos Silva,Especialista en Compras,carlos.silva@gob.cl
1031849-15-L125,Servicio de Emisión de Licencias Medicas Electrónicas,5,2025-10-10T15:00:00,Activa,Servicio de Emisión de Licencias Medicas Electrónicas,2,Privado,845534.0,Compra Agilizada,Servicio Nacional de Salud,División de Compras,Santiago,Región de Atacama,Carlos Silva,Coordinador de Adquisiciones,carlos.silva@gobierno.cl
1033392-2-LE25,TARJETAS DE REGALO BONO DE NAVIDAD 2025 PARA LOS AFILIADOS AL SERVICIO DE BIENESTAR DE PROVIDENCIA.,5,2025-10-24T12:00:00,Activa,TARJETAS DE REGALO BONO DE NAVIDAD 2025 PARA LOS AFILIADOS AL SERVICIO DE BIENESTAR DE PROVIDENCIA.,1,Público,1051564.0,Licitación Pública,Ministerio de Salud,Unidad de Compras,Temuco,Región de Los Lagos,Carlos Silva,Supervisor de Contratos,carlos.silva@gob.cl
1033392-3-L125,Adquisición de juguetes de navidad 2025 para hijos de funcionarios afiliados al Servicio de Bienestar.,5,2025-10-30T12:00:00,Activa,Adquisición de juguetes de navidad 2025 para hijos de funcionarios afiliados al Servicio de Bienestar.,3,Mixto,453528.0,Subasta Inversa,Superintendencia de Educación,Área de Contrataciones,Concepción,Región de Atacama,Isabel Sánchez,Coordinador de Adquisiciones,isabel.sánchez@gob.cl
1035-24-LE25,Servicio Abogado apoyo Conaf VI Region,5,2025-10-13T15:05:00,Activa,Servicio Abogado apoyo Conaf VI Region,1,Público,315679.0,Convenio Marco,Gobierno Regional del Biobío,Sección de Licitaciones,La Serena,Región del Libertador General Bernardo O'Higgins,Mónica Herrera,Encargado de Licitaciones,mónica.herrera@municipalidad.cl
1035-27-L125,Serv. Mantención y/o construcción mecanizada de cortafuego en la Prov. C.Caro,5,2025-10-06T15:00:00,Activa,Serv. Mantención y/o construcción mecanizada de cortafuego en la Prov. C.Caro,2,Privado,86351.0,Licitación Pública,Ministerio de Obras Públicas,División de Compras,La Serena,Región de Coquimbo,Fernando Ramírez,Administrador de Contratos,fernando.ramírez@municipalidad.cl
1035685-19-LQ25,SERVICIOS DE ASEO CFT DE LOS RIOS,5,2025-10-21T17:00:00,Activa,SERVICIOS DE ASEO CFT DE LOS RIOS,2,Privado,99057.0,Convenio Marco,Instituto de Previsión Social,Sección de Licitaciones,Punta Arenas,Región de La Araucanía,Diego Morales,Analista de Compras,diego.morales@municipalidad.cl
1035685-20-LE25,EQUIPAMIENTO CARRERAS ESCUELA DE SALUD,5,2025-10-10T17:00:00,Activa,EQUIPAMIENTO CARRERAS ESCUELA DE SALUD,2,Privado,841196.0,Subasta Inversa,Superintendencia de Educación,Departamento de Adquisiciones,Punta Arenas,Región de Coquimbo,Carlos Silva,Analista de Compras,carlos.silva@gob.cl
1035685-21-LE25,EQUIPAMIENTO CARRERA DE ELECTRICIDAD,5,2025-10-13T17:00:00,Activa,EQUIPAMIENTO CARRERA DE ELECTRICIDAD,3,Mixto,5250.0,Licitación Pública,Ministerio de Educación,Departamento de Adquisiciones,Chillán,Región de La Araucanía,Juan Pérez,Analista de Compras,juan.pérez@municipalidad.cl
1036-24-I225,SERVICIO DE ARRIENDO DE MÓVILES PARA TRANSPORTE DE AGUA Y PERSONAL DE BRIGADAS DEL DEPARTAMENTO DE PROTECCIÓN CONTRA INCENDIOS FORESTALES PARA LOS PERIODOS 2025-2026 2026-2027,5,2025-10-17T17:01:00,Activa,SERVICIO DE ARRIENDO DE MÓVILES PARA TRANSPORTE DE AGUA Y PERSONAL DE BRIGADAS DEL DEPARTAMENTO DE PROTECCIÓN CONTRA INCENDIOS FORESTALES PARA LOS PERIODOS 2025-2026 2026-2027,2,Privado,453550.0,Trato Directo,Fiscalía Nacional,Unidad de Compras,Valparaíso,Región de Los Ríos,Roberto Martínez,Analista de Compras,roberto.martínez@gobierno.cl
1036-26-LP25,Adquisición de Plantas 2025,5,2025-10-22T15:00:00,Activa,Adquisición de Plantas 2025,3,Mixto,291031.0,Compra Agilizada,Municipalidad de Concepción,Unidad de Compras,La Serena,Región del Libertador General Bernardo O'Higgins,Luis Fernández,Especialista en Compras,luis.fernández@gob.cl
1036-27-LE25,SERVICIO ARRIENDO BUS TRANSPORTEPERSONAL BRIGADAS,5,2025-10-13T15:10:00,Activa,SERVICIO ARRIENDO BUS TRANSPORTEPERSONAL BRIGADAS,3,Mixto,47835.0,Trato Directo,Dirección del Trabajo,División de Compras,Punta Arenas,Región del Libertador General Bernardo O'Higgins,Mónica Herrera,Especialista en Compras,mónica.herrera@gob.cl
1036-30-LE25,CONVENIO DE SUMINSITRO ADQUISICIÓN DE ELEMENTOS DE PROTECCIÓN PERSONAL EPP PARA USO LABORAL,5,2025-10-08T17:01:00,Activa,CONVENIO DE SUMINSITRO ADQUISICIÓN DE ELEMENTOS DE PROTECCIÓN PERSONAL EPP PARA USO LABORAL,2,Privado,600148.0,Trato Directo,Servicio de Impuestos Internos,Departamento de Adquisiciones,Ñuñoa,Región del Libertador General Bernardo O'Higgins,Juan Pérez,Encargado de Licitaciones,juan.pérez@gobierno.cl
1036569-25-LE25,CONEXIÓN ACCESO UNIVERSAL: PASILLO-ASCENSOR,5,2025-10-13T17:34:00,Activa,CONEXIÓN ACCESO UNIVERSAL: PASILLO-ASCENSOR,2,Privado,1605124.0,Licitación Pública,Municipalidad de Santiago,Área de Contrataciones,La Serena,Región de Tarapacá,Ana Rodríguez,Encargado de Licitaciones,ana.rodríguez@municipalidad.cl
1037-13-LQ25,ARRDO. 15 CAMIONETAS 4x4 DC DEPRIF REG. LOS LAGOS,5,2025-10-07T10:00:00,Activa,ARRDO. 15 CAMIONETAS 4x4 DC DEPRIF REG. LOS LAGOS,1,Público,175196.0,Compra Agilizada,Ministerio de Obras Públicas,Área de Contrataciones,Antofagasta,Región del Maule,María González,Coordinador de Adquisiciones,maría.gonzález@gob.cl
1037-14-LQ25,ARRIENDO DE 6 CAMIONES CARROZADOS PARA BRIGADAS,5,2025-10-23T10:00:00,Activa,ARRIENDO DE 6 CAMIONES CARROZADOS PARA BRIGADAS,2,Privado,17482.0,Licitación Privada,Servicio Nacional de Salud,Área de Contrataciones,Concepción,Región de Los Ríos,Roberto Martínez,Encargado de Licitaciones,roberto.martínez@municipalidad.cl
1038-17-LE25,MATERIALES PARA DIVERSAS FAENAS FORESTALES,5,2025-10-13T15:15:00,Activa,MATERIALES PARA DIVERSAS FAENAS FORESTALES,3,Mixto,161987.0,Trato Directo,Municipalidad de Valparaíso,División de Compras,Rancagua,Región de Valparaíso,Carlos Silva,Jefe de Compras,carlos.silva@gobierno.cl
